,Histories,End states,Mem.,Time,Histories,End states,Mem.,Time,Histories,End states,Mem.,Time,End states,Mem.,Time
courseware-1,48,164,256MB,00:00:04,48,3456,312MB,00:00:17,48,9216,310MB,00:00:31,73482,447MB,00:11:30
courseware-2,12,20,256MB,00:00:05,12,96,256MB,00:00:06,12,96,256MB,00:00:06,29304,469MB,00:04:33
courseware-3,370,1841,308MB,00:00:19,20,719429,308MB,00:30:00,20,786434,308MB,00:30:00,61012,308MB,00:30:00
courseware-4,18,32,256MB,00:00:02,18,1984,308MB,00:00:11,18,1984,312MB,00:00:11,93896,308MB,00:11:48
courseware-5,34,120,308MB,00:00:06,34,99048,308MB,00:05:34,34,138480,308MB,00:06:45,46063,523MB,00:30:00
shoppingcart-1,32,80,256MB,00:00:04,32,6912,308MB,00:00:54,32,9216,370MB,00:01:08,126678,444MB,00:30:00
shoppingcart-2,174,1017,308MB,00:00:13,174,78336,316MB,00:05:41,174,221184,370MB,00:12:34,166311,308MB,00:30:00
shoppingcart-3,77,231,256MB,00:00:06,77,4940,313MB,00:00:44,77,8960,444MB,00:01:10,164385,444MB,00:30:00
shoppingcart-4,445,477,256MB,00:00:08,445,734464,370MB,00:30:00,445,858867,444MB,00:30:00,262924,444MB,00:30:00
shoppingcart-5,170,450,308MB,00:00:08,170,15504,308MB,00:00:55,170,117936,308MB,00:04:54,122523,379MB,00:30:00
tpcc-1,22,80,533MB,00:00:12,4,78164,568MB,00:30:00,1,63588,380MB,00:30:00,17908,1409MB,00:30:00
tpcc-2,88,564,533MB,00:00:57,1,77865,716MB,00:30:00,1,131450,533MB,00:30:00,21885,1230MB,00:30:00
tpcc-3,63,216,533MB,00:00:18,5,36618,669MB,00:30:00,5,38861,568MB,00:30:00,20466,1194MB,00:30:00
tpcc-4,105,114,449MB,00:00:12,17,124679,572MB,00:30:00,9,116126,640MB,00:30:00,20190,1174MB,00:30:00
tpcc-5,1109,19463,533MB,00:21:05,1,83644,464MB,00:30:00,1,84325,444MB,00:30:00,25389,1349MB,00:30:00
twitter-1,16,20,256MB,00:00:03,16,2208,308MB,00:00:34,16,4608,308MB,00:00:56,35056,539MB,00:28:45
twitter-2,59,147,256MB,00:00:05,59,1728,308MB,00:00:18,59,1728,321MB,00:00:18,159100,447MB,00:30:00
twitter-3,114,216,308MB,00:00:07,114,1296,308MB,00:00:19,114,1296,374MB,00:00:18,108792,444MB,00:22:47
twitter-4,195,6860,308MB,00:03:37,10,99558,374MB,00:30:00,1,163231,322MB,00:30:00,55198,444MB,00:30:00
twitter-5,195,6860,308MB,00:03:18,84,61498,444MB,00:30:00,84,118514,322MB,00:30:00,55198,444MB,00:30:00
wikipedia-1,32,48,256MB,00:00:05,32,16480,444MB,00:03:12,32,49280,308MB,00:08:13,54172,370MB,00:30:00
wikipedia-2,138,352,371MB,00:00:13,1,125438,540MB,00:30:00,1,122187,489MB,00:30:00,8169,561MB,00:30:00
wikipedia-3,156,380,370MB,00:00:14,156,115200,544MB,00:20:56,156,161280,444MB,00:28:28,69935,568MB,00:30:00
wikipedia-4,53,104,372MB,00:00:11,1,63360,465MB,00:30:00,1,63023,4652B,00:30:00,25044,768MB,00:30:00
wikipedia-5,3208,3807,311MB,00:01:00,32,16480,308MB,00:03:22,15,30862,444MB,00:30:00,1226,563MB,00:30:00
