Benchmark;Histories1;Mem.1;Time1;Histories2;Mem.2;Time2;Histories3;Mem.3;Time3;Histories4;Mem.4;Time4;Histories5;Mem.5;Time5
tpcc-1;1;256MB;00:00:02;6;256MB;00:00:04;72;447MB;00:00:13;4662;783MB;00:05:41;41371;1386MB;00:30:00
tpcc-2;1;256MB;00:00:02;30;313MB;00:00:06;2071;640MB;00:02:00;28563;1618MB;00:30:00;18122;1103MB;00:30:00
tpcc-3;1;256MB;00:00:02;4;326MB;00:00:04;100;562MB;00:00:18;24373;1152MB;00:30:00;21035;1038MB;00:30:00
tpcc-4;1;256MB;00:00:02;4;342MB;00:00:05;527;582MB;00:00:44;21118;1352MB;00:30:00;25386;1233MB;00:30:00
tpcc-5;1;256MB;00:00:03;5;380MB;00:00:06;335;453MB;00:00:40;19184;1384MB;00:30:00;26262;1598MB;00:30:00
wikipedia-1;1;256MB;00:00:02;27;256MB;00:00:04;5488;371MB;00:04:39;130848;370MB;00:30:00;45018;400MB;00:30:00
wikipedia-2;1;256MB;00:00:02;6;323MB;00:00:03;216;329MB;00:00:08;2984;394MB;00:12:57;31124;1164MB;00:30:00
wikipedia-3;1;256MB;00:00:02;20;351MB;00:00:06;1369;594MB;00:00:32;43146;566MB;00:30:00;33906;692MB;00:30:00
wikipedia-4;1;256MB;00:00:02;4;346MB;00:00:04;43;390MB;00:00:08;451;640MB;00:01:05;10059;1833MB;00:30:00
wikipedia-5;1;256MB;00:00:02;9;256MB;00:00:04;67;319MB;00:00:07;2438;582MB;00:01:26;40760;689MB;00:30:00
